video_id,model,camera,exercise,is_coach,n_outlier_frames,mean_outlier_nmpjpe,max_nmpjpe,frame_count,total_frames,outlier_rate
PM_011-c17,YOLO,c17,Ex3,True,95,302.70327822699085,424.2452809272591,95,545,17.431192660550458
PM_114-c18,MoveNet,c18,Ex1,False,88,32.89326669599947,37.51917265018096,88,1723,5.107370864770749
PM_010-c18,MediaPipe,c18,Ex3,False,86,99.3467263327313,217.71168417353363,86,1354,6.3515509601181686
PM_111-c18,YOLO,c18,Ex4,False,85,37.059080739997555,54.91312233229892,85,1197,7.101086048454469
PM_112-c17,MediaPipe,c17,Ex5,False,84,130.00905505473534,377.34025364807894,84,1482,5.668016194331984
PM_021-c17,MoveNet,c17,Ex5,False,82,301.2677128221558,399.6431584388439,82,949,8.640674394099051
PM_109-c17,YOLO,c17,Ex1,False,82,531.0541767123148,648.8015940094322,82,1023,8.01564027370479
PM_124-c17,YOLO,c17,Ex4,False,81,372.0644109561404,519.3569045374475,81,1108,7.310469314079422
PM_124-c17,MoveNet,c17,Ex4,False,80,364.53554412105257,514.7106568334981,80,1109,7.21370604147881
PM_008-c17,MediaPipe,c17,Ex6,False,79,165.35736345258127,409.1157336026537,79,1729,4.569115095430885
PM_104-c18,YOLO,c18,Ex5,False,77,45.91554520187861,60.46319393713287,77,1065,7.230046948356808
PM_121-c18,MoveNet,c18,Ex3,False,77,34.32608454204265,41.69978631013513,77,569,13.53251318101933
PM_044-c17,YOLO,c17,Ex3,False,75,234.78940757862395,467.6731584575539,75,538,13.940520446096654
PM_027-c18,MediaPipe,c18,Ex4,False,73,52.30897751761574,214.59443474015598,73,1369,5.33235938641344
PM_112-c17,YOLO,c17,Ex5,False,73,323.27433877909885,462.972084278631,73,827,8.827085852478838
PM_013-c17,MediaPipe,c17,Ex2,False,72,127.38071168942868,356.561606782101,72,473,15.221987315010571
PM_027-c17,MediaPipe,c17,Ex4,False,71,132.27689853096155,407.6505627589984,71,1340,5.298507462686567
PM_103-c17,YOLO,c17,Ex4,False,71,328.90657610452536,537.4063146996364,71,1042,6.813819577735125
PM_114-c17,YOLO,c17,Ex1,False,71,440.2663593395253,506.87307265345146,71,1721,4.125508425334108
