exercise,subject_id,camera,model,num_frames,mean_nmpjpe,std_nmpjpe,median_nmpjpe,frames_over_30,frames_over_50,skip_rate,video_id,category
Ex2,PM_003,c17,YOLOv8-Pose n,1596,7.670221270903951,1.3068771536737211,7.60603888419068,0,0,0.0,PM_003-c17,clean
Ex2,PM_003,c18,MediaPipe full,1596,17.769262212421427,33.37740824531797,11.765763005309848,48,48,0.2999164578111947,PM_003-c18,clean
Ex2,PM_003,c18,MoveNet multipose,1596,8.773941532092122,1.9115634963382893,8.56826205727305,0,0,0.3322890559732665,PM_003-c18,clean
Ex2,PM_003,c18,YOLOv8-Pose n,1596,12.802270343165716,3.860476607950297,11.842777611751533,9,0,0.1144527986633249,PM_003-c18,clean
Ex2,PM_004,c17,MediaPipe full,971,21.410956308417745,38.89866185518304,12.61902055371843,55,42,0.0295228286989358,PM_004-c17,clean
Ex2,PM_004,c17,MoveNet multipose,973,11.293144955851515,6.26289275231283,9.737969535135454,35,2,0.1537341555327167,PM_004-c17,clean
Ex2,PM_004,c17,YOLOv8-Pose n,973,13.088862522839996,12.942623371864368,12.11752155729542,2,2,0.0017985611510791,PM_004-c17,clean
Ex2,PM_004,c18,MediaPipe full,973,9.413504943851398,1.0178421993208835,9.467731293279874,0,0,0.0017129153819801,PM_004-c18,clean
Ex2,PM_004,c18,MoveNet multipose,973,9.452872932353731,2.658143388091823,9.369022561318044,2,2,0.0098492634463857,PM_004-c18,clean
Ex2,PM_004,c18,YOLOv8-Pose n,973,10.18536709976121,1.1246920745490196,10.02649838684512,0,0,0.000513874614594,PM_004-c18,clean
Ex2,PM_013,c17,MediaPipe full,473,27.18973336572594,54.08231842030392,9.15102861762232,67,47,0.0436927413671599,PM_013-c17,clean
Ex2,PM_013,c17,MoveNet multipose,481,10.246989164895698,25.80623929100324,7.399114501797868,6,6,0.0200970200970201,PM_013-c17,clean
