exercise,subject_id,camera,model,num_frames,mean_nmpjpe,std_nmpjpe,median_nmpjpe,frames_over_30,frames_over_50,skip_rate
Ex1,PM_039,c17,MediaPipe full,1268,9.8770785388202,1.0802728173115446,9.717233760599687,0,0,0.02103049421661409
Ex1,PM_039,c17,MoveNet multipose,1267,8.735286683933298,0.7864742427648858,8.663887117443995,0,0,0.0464351486450934
Ex1,PM_039,c17,YOLOv8-Pose n,1252,19.58624429201545,66.66074896491494,9.496542342788675,28,28,0.02123269435569755
Ex1,PM_039,c18,MediaPipe full,1268,12.251201792143409,1.8873305175019217,12.03856813346217,3,0,0.19321766561514203
Ex1,PM_039,c18,MoveNet multipose,1268,11.94396151875437,1.566317619560312,11.677207566415486,0,0,0.16791535226077817
Ex1,PM_039,c18,YOLOv8-Pose n,1268,12.786259376430781,2.5318259381717594,12.349569345829993,3,0,0.08109884332281805
Ex1,PM_101,c17,MediaPipe full,436,13.500923583211335,1.8429590126778688,13.287386059344826,1,0,0.15615443425076445
Ex1,PM_101,c17,MoveNet multipose,436,10.525155233540525,1.3266377049179987,10.774932988640364,0,0,0.12996941896024466
Ex1,PM_101,c17,YOLOv8-Pose n,185,11.766916685240673,1.976831139918415,11.463485873296499,1,0,0.003603603603603604
Ex1,PM_101,c18,MediaPipe full,436,11.985492254648307,0.46596226104185595,11.937623174665582,0,0,0.0005733944954128443
Ex1,PM_101,c18,MoveNet multipose,436,12.768899004813987,0.6947815121923415,12.749381726591915,0,0,0.004778287461773703
Ex1,PM_101,c18,YOLOv8-Pose n,436,12.099567414639491,0.5505655762069405,12.078230323898532,0,0,0.0
Ex1,PM_109,c17,MediaPipe full,1742,10.741792014473667,1.4942714287116061,10.622218740271881,1,0,0.03023344814389591
Ex1,PM_109,c17,MoveNet multipose,1741,10.885734193307789,24.949412750820862,9.505188906264669,6,6,0.05370476737507181
Ex1,PM_109,c17,YOLOv8-Pose n,1008,44.40680107615104,128.84420560845885,10.38331180609195,67,67,0.05439814814814815
Ex1,PM_109,c18,MediaPipe full,1742,13.445661157339744,4.999035877240291,12.084936218633356,66,0,0.16111748947569846
Ex1,PM_109,c18,MoveNet multipose,1742,10.572621041963684,1.5907772833107527,10.097024859628895,0,0,0.17824339839265216
Ex1,PM_109,c18,YOLOv8-Pose n,1742,10.3769474760535,2.2474395493322543,9.977293739340151,0,0,0.0697474167623421
Ex1,PM_114,c17,MediaPipe full,1723,12.478305983651673,7.802760781460134,11.57181578905031,1,1,0.06311665699361577
Ex1,PM_114,c17,MoveNet multipose,1722,12.614152581291165,27.004929274397014,10.668533709964116,11,11,0.05724932249322494
Ex1,PM_114,c17,YOLOv8-Pose n,1717,28.644914325467184,86.06160001504576,11.042824242123764,67,67,0.030430984274898078
Ex1,PM_114,c18,MediaPipe full,1723,14.729935031756613,1.8133145232244055,14.879547932922193,2,0,0.19031727606887214
Ex1,PM_114,c18,MoveNet multipose,1723,13.580630310749605,1.997194802037918,13.551811249869603,0,0,0.19902302186109502
Ex1,PM_114,c18,YOLOv8-Pose n,1723,13.67388224464578,1.6525752596724061,13.669000498624992,0,0,0.0898142774230992
Ex1,PM_122,c17,MediaPipe full,1247,10.679191962133604,3.4570574204863185,9.73870187927004,5,1,0.0783881315156375
Ex1,PM_122,c17,MoveNet multipose,1247,8.914386958908455,2.234803923642056,8.900367722421215,1,1,0.09141940657578188
Ex1,PM_122,c17,YOLOv8-Pose n,972,13.14922651183295,40.537523971040365,9.585760028899506,7,7,0.005744170096021947
Ex1,PM_122,c18,MediaPipe full,1247,13.364340716855079,4.391842451432221,12.316374086750656,28,1,0.16639935846030476
Ex1,PM_122,c18,MoveNet multipose,1247,12.328970726047972,1.929526544724383,11.758839818393747,1,0,0.16426089280940928
Ex1,PM_122,c18,YOLOv8-Pose n,1247,11.363158290488956,2.273123965441717,11.18673653639282,1,1,0.07892274792836138
Ex2,PM_003,c17,MediaPipe full,1592,17.719056790919073,23.33086677151309,10.01403847681577,130,69,0.029889028475711895
Ex2,PM_003,c17,MoveNet multipose,1596,6.311649425170776,0.9533406275862639,6.279195221352095,0,0,0.008667502088554721
Ex2,PM_003,c17,YOLOv8-Pose n,1596,7.670221270903951,1.3068771536737211,7.60603888419068,0,0,0.0
