patient_id,video_id,exercise,camera,model,video_median_nmpjpe
4,PM_031,Ex3,c18,MediaPipe,9.348929552318523
4,PM_031,Ex3,c18,MoveNet,10.607930174283924
4,PM_031,Ex3,c18,YOLOv8,9.625127304714235
4,PM_032,Ex1,c17,MediaPipe,5.964815498491015
4,PM_032,Ex1,c17,MoveNet,6.74834630737261
4,PM_032,Ex1,c17,YOLOv8,5.920810738284757
4,PM_032,Ex1,c18,MediaPipe,6.339227039499589
4,PM_032,Ex1,c18,MoveNet,7.637119274222679
4,PM_032,Ex1,c18,YOLOv8,6.638501134773099
4,PM_033,Ex2,c17,MediaPipe,6.163988706354786
4,PM_033,Ex2,c17,MoveNet,4.778242387713018
4,PM_033,Ex2,c17,YOLOv8,6.443297283564338
4,PM_033,Ex2,c18,MediaPipe,7.67400974008033
4,PM_033,Ex2,c18,MoveNet,7.093926084150715
4,PM_033,Ex2,c18,YOLOv8,8.435198884597739
4,PM_034,Ex4,c17,MediaPipe,8.303576583959963
4,PM_034,Ex4,c17,MoveNet,6.495799726449281
4,PM_034,Ex4,c17,YOLOv8,8.43465725867718
4,PM_034,Ex4,c18,MediaPipe,8.302952103572608
4,PM_034,Ex4,c18,MoveNet,9.389525943138288
4,PM_034,Ex4,c18,YOLOv8,8.68665823818446
4,PM_035,Ex4,c17,MediaPipe,10.692861353307796
4,PM_035,Ex4,c17,MoveNet,8.82255478269066
4,PM_035,Ex4,c17,YOLOv8,14.06257541592804
4,PM_035,Ex4,c18,MediaPipe,7.482887394177478
4,PM_035,Ex4,c18,MoveNet,6.82857590122786
4,PM_035,Ex4,c18,YOLOv8,6.939978078067018
4,PM_037,Ex5,c17,MediaPipe,7.453159973009936
4,PM_037,Ex5,c17,MoveNet,8.988322347206894
4,PM_037,Ex5,c17,YOLOv8,10.557831661363117
4,PM_037,Ex5,c18,MediaPipe,6.602442849899814
4,PM_037,Ex5,c18,MoveNet,7.5046621240658995
4,PM_037,Ex5,c18,YOLOv8,10.881816345510671
4,PM_038,Ex6,c17,MediaPipe,9.430379686883125
4,PM_038,Ex6,c17,MoveNet,7.842389351703158
4,PM_038,Ex6,c17,YOLOv8,9.785395658666776
4,PM_038,Ex6,c18,MediaPipe,7.957652086727177
4,PM_038,Ex6,c18,MoveNet,7.523020908043757
4,PM_038,Ex6,c18,YOLOv8,8.652697165276841
5,PM_039,Ex1,c17,MediaPipe,9.717233760599687
